id	choice_key	dilemma_key	payload_key	value	target_key
7017900574	FIRST	land_enc_dilemma_bandits_wef	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900575	SECOND	land_enc_dilemma_bandits_wef	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900576	FIRST	land_enc_dilemma_bandits_nor	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900577	SECOND	land_enc_dilemma_bandits_nor	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900578	FIRST	land_enc_dilemma_incursion_army_hef	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900579	SECOND	land_enc_dilemma_incursion_army_hef	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900580	FIRST	land_enc_dilemma_incursion_army_lzd	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900581	SECOND	land_enc_dilemma_incursion_army_lzd	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900582	FIRST	land_enc_dilemma_incursion_army_vco	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900583	SECOND	land_enc_dilemma_incursion_army_vco	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900584	FIRST	land_enc_dilemma_surprise_attack_bst	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900585	SECOND	land_enc_dilemma_surprise_attack_bst	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900586	FIRST	land_enc_dilemma_surprise_attack_skv	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900587	SECOND	land_enc_dilemma_surprise_attack_skv	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900588	FIRST	land_enc_dilemma_battlefield_grn	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900589	SECOND	land_enc_dilemma_battlefield_grn	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900590	FIRST	land_enc_dilemma_battlefield_def	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900591	SECOND	land_enc_dilemma_battlefield_def	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900592	FIRST	land_enc_dilemma_battlefield_vmp	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900593	SECOND	land_enc_dilemma_battlefield_vmp	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900594	FIRST	land_enc_dilemma_battlefield_tmb	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900595	SECOND	land_enc_dilemma_battlefield_tmb	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
